name,short_description,duration,modules_count,topics_count
Data analyst,"Аналізуй дані, які допоможуть бізнесу приймати обґрунтовані рішення на основі тенденцій і фактів.",4+ місяці,,
UI/UX designer,Створюй візуально привабливі та інтуїтивно зрозумілі для користувачів дизайни інтерфейсів.,4+ місяці,,
QA engineer,"Перевіряй програмне забезпечення на помилки, щоб користувачі отримали якісний продукт.",3+ місяці,,
Digital marketer,"Створюй маркетингові кампанії, щоб допомагати бізнесу ставати впізнаваним і розвивати свій бренд.",3+ місяці,,
Project manager,"Аналізує вимоги проекту, координує команди та оптимізує ресурси для забезпечення успішного виконання проекту, дотримання термінів та досягнення цілей.",3+ місяці,,
Python developer,"Пиши й підтримуй код на Python для різного програмного забезпечення, аналізу даних і машинного навчання.",4+ місяці,,
Front-end developer,"Розробляй видимі частини вебсторінок і мобільних застосунків, щоб кожен клік і скрол були плавними.",5+ місяців,,
Full-stack developer,Розробляй продукт самостійно — від створення видимої частини (frontend) до серверної (backend).,5+ місяців,,
DevOps engineer,"Налагоджуй інструменти і процеси, щоб програмне забезпечення швидше доходило до користувачів.",4+ місяці,,
Java developer,"Розробляй надійне програмне забезпечення на Java, працюй з базами даних і серверною логікою.",4+ місяці,,
Recruiter,Шукай і знаходь талановитих кандидатів для конкретних ролей і допомагай адаптуватись новачкам.,4+ місяці,,
PPC manager,"Аналізує аудиторію, запускає рекламні кампанії та оптимізує трафік для збільшення впізнаваності бренду та зростання продажів.",3+ місяці,,
SMM менеджер,"Веди соцмережі бренду — створюй контент, залучай аудиторію та впливай на продажі.",4+ місяці,,
Automation QA engineer,"Створюй автоматизовані тести, щоб швидко виявляти помилки та перевіряти якість програмного забезпечення.",3+ місяці,,
